Seconds since Launch,Total Requests,Requests Per Sec,Requests Okay,Requests Relayed,Requests Error
471.70112776756287,1042414,2038.0,1012193,0,30221
473.7147924900055,1046745,2165.5,1016416,0,30329
475.71501111984253,1051498,2376.5,1021039,0,30459
477.7247896194458,1057056,2779.0,1026439,0,30617
479.7330026626587,1062005,2474.5,1031244,0,30761
481.74677085876465,1067860,2927.5,1036949,0,30911
483.7615315914154,1073807,2973.5,1042737,0,31070
485.77357745170593,1079627,2910.0,1048423,0,31204
487.78521609306335,1085180,2776.5,1053815,0,31365
489.79271602630615,1090550,2685.0,1059037,0,31513
491.802081823349,1095501,2475.5,1063861,0,31640
493.8078622817993,1098162,1330.5,1066460,0,31702
495.8126118183136,1102645,2241.5,1070808,0,31837
497.8223133087158,1107603,2479.0,1075643,0,31960
499.83179211616516,1112073,2235.0,1079989,0,32084
501.84165620803833,1117223,2575.0,1084997,0,32226
503.8557231426239,1120083,1430.0,1087786,0,32297
505.865966796875,1124413,2165.0,1091988,0,32425
507.881552696228,1129668,2627.5,1097096,0,32572
509.89633560180664,1135651,2991.5,1102926,0,32725
511.89950489997864,1141061,2705.0,1108200,0,32861
513.9128949642181,1146538,2738.5,1113529,0,33009
515.9203848838806,1150950,2206.0,1117843,0,33107
517.9328901767731,1154195,1622.5,1121009,0,33186
519.9473524093628,1158705,2255.0,1125401,0,33304
521.9565904140472,1163491,2393.0,1130073,0,33418
523.957522392273,1168935,2722.0,1135379,0,33556
525.9583327770233,1174891,2978.0,1141193,0,33698
527.9597179889679,1179391,2250.0,1145575,0,33816
529.9687557220459,1183343,1976.0,1149431,0,33912
531.9813497066498,1189299,2978.0,1155232,0,34067
533.994264125824,1195233,2967.0,1161010,0,34223
536.0035169124603,1199693,2230.0,1165361,0,34332
538.0107102394104,1205219,2763.0,1170731,0,34488
540.0210406780243,1210711,2746.0,1176093,0,34618
542.031576871872,1216260,2774.5,1181515,0,34745
544.0342764854431,1221753,2746.5,1186875,0,34878
546.0414073467255,1226074,2160.5,1191101,0,34973
548.051228761673,1230912,2419.0,1195816,0,35096
550.0607161521912,1236833,2960.5,1201578,0,35255
552.0625128746033,1241780,2473.5,1206404,0,35376
554.0759618282318,1246777,2498.5,1211274,0,35503
556.0793232917786,1252520,2871.5,1216867,0,35653
558.0798923969269,1257399,2439.5,1221623,0,35776
560.0801718235016,1263209,2905.0,1227287,0,35922
562.0831265449524,1268070,2430.5,1232012,0,36058
564.0913248062134,1273489,2709.5,1237301,0,36188
566.1012151241302,1278958,2734.5,1242625,0,36333
568.1023280620575,1283978,2510.0,1247495,0,36483
570.1068589687347,1289404,2713.0,1252795,0,36609
572.1102495193481,1294659,2627.5,1257919,0,36740
574.1195042133331,1300365,2853.0,1263446,0,36919
576.1306517124176,1304917,2276.0,1267895,0,37022
578.1364605426788,1310216,2649.5,1273051,0,37165
580.1420850753784,1316120,2952.0,1278792,0,37328
582.1526100635529,1321245,2562.5,1283791,0,37454
584.1596148014069,1326482,2618.5,1288893,0,37589
586.1614909172058,1331844,2681.0,1294118,0,37726
588.169322013855,1337496,2826.0,1299618,0,37878
590.180507183075,1342989,2746.5,1304975,0,38014
592.181405544281,1347503,2257.0,1309377,0,38126
594.1887686252594,1352455,2476.0,1314209,0,38246
596.2034895420074,1358098,2821.5,1319700,0,38398
598.2079095840454,1362941,2421.5,1324420,0,38521
600.2108461856842,1367896,2477.5,1329243,0,38653
602.2169969081879,1372547,2325.5,1333767,0,38780
604.2176818847656,1377292,2372.5,1338394,0,38898
606.2318212985992,1382744,2726.0,1343696,0,39048
608.2393574714661,1388188,2722.0,1349023,0,39165
610.2482123374939,1393072,2442.0,1353779,0,39293
612.2631154060364,1398197,2562.5,1358769,0,39428
614.2727823257446,1403439,2621.0,1363888,0,39551
616.2828116416931,1408262,2411.5,1368563,0,39699
618.2922151088715,1413173,2455.5,1373352,0,39821
620.2934248447418,1418617,2722.0,1378657,0,39960
622.3021335601807,1424795,3089.0,1384644,0,40151
624.3146848678589,1430062,2633.5,1389752,0,40310
626.3247013092041,1435318,2628.0,1394891,0,40427
628.3270978927612,1440673,2677.5,1400104,0,40569
630.3299329280853,1445418,2372.5,1404721,0,40697
632.3377873897552,1450681,2631.5,1409834,0,40847
634.3495452404022,1455082,2200.5,1414108,0,40974
636.3504831790924,1460560,2739.0,1419446,0,41114
638.3636636734009,1466142,2791.0,1424879,0,41263
640.372652053833,1471092,2475.0,1429714,0,41378
642.3984706401825,1476316,2612.0,1434798,0,41518
644.4044690132141,1481928,2806.0,1440260,0,41668
646.4065744876862,1487327,2699.5,1445515,0,41812
648.4151456356049,1492514,2593.5,1450562,0,41952
650.424920797348,1498397,2941.5,1456301,0,42096
652.4417021274567,1504216,2909.5,1461962,0,42254
654.4454576969147,1509687,2735.5,1467286,0,42401
656.4574205875397,1514623,2468.0,1472084,0,42539
658.4640080928802,1519378,2377.5,1476714,0,42664
660.4660332202911,1524488,2555.0,1481699,0,42789
662.4797389507294,1530365,2938.5,1487434,0,42931
664.4918012619019,1535434,2534.5,1492367,0,43067
666.5070161819458,1540665,2615.5,1497440,0,43225
668.5137825012207,1546136,2735.5,1502754,0,43382
670.524425983429,1551792,2828.0,1508273,0,43519
672.5300273895264,1557488,2848.0,1513828,0,43660
674.5371692180634,1560634,1573.0,1516894,0,43740
676.5425093173981,1564090,1728.0,1520257,0,43833
678.5525977611542,1569835,2872.5,1525867,0,43968
680.5678598880768,1574551,2358.0,1530468,0,44083
682.5685033798218,1579907,2678.0,1535669,0,44238
684.5715491771698,1585747,2920.0,1541356,0,44391
686.5760400295258,1591003,2628.0,1546469,0,44534
688.5832271575928,1595769,2383.0,1551093,0,44676
690.588386297226,1600749,2490.0,1555940,0,44809
692.5963327884674,1604855,2053.0,1559944,0,44911
694.5971105098724,1609522,2333.5,1564475,0,45047
696.5987477302551,1613953,2215.5,1568808,0,45145
698.605105638504,1619039,2543.0,1573753,0,45286
700.6314458847046,1622780,1870.5,1577407,0,45373
702.6374247074127,1626496,1858.0,1581044,0,45452
704.6441774368286,1630322,1913.0,1584779,0,45543
706.6561291217804,1635326,2502.0,1589644,0,45682
708.6575102806091,1640610,2642.0,1594792,0,45818
710.6685507297516,1645343,2366.5,1599404,0,45939
712.678629398346,1650279,2468.0,1604215,0,46064
714.6803798675537,1655955,2838.0,1609743,0,46212
716.690122127533,1661657,2851.0,1615297,0,46360
718.6965990066528,1665801,2072.0,1619344,0,46457
720.7113761901855,1670693,2446.0,1624112,0,46581
722.7158498764038,1674927,2117.0,1628236,0,46691
724.7180387973785,1680370,2721.5,1633568,0,46802
726.7251732349396,1684707,2168.5,1637793,0,46914
728.7259442806244,1687809,1551.0,1640825,0,46984
